gen,best_fit,mean_fit,std_fit,best_prob,mean_prob,median_prob,std_prob,doomsday
21,92.84094470078547,71.93164381364703,31.255465710020683,0.10340454536603076,0.1312823789647749,0.11482764467154274,0.07783742477414204,0
22,92.84094470078547,73.68445490374917,29.5821345755316,0.10340454536603076,0.12245143484800934,0.11261441987077236,0.05317657191143155,0
23,92.84094470078547,73.68008328742818,29.95840905168725,0.10340454536603076,0.13282300659524704,0.11108223106782791,0.09766002533202274,0
24,92.84094470078547,73.0189711382473,30.168618195920857,0.10340454536603076,0.13524082609558732,0.10899994874426028,0.09696729150167746,0
25,92.84094470078547,71.92488340660124,31.016357743651415,0.10340454536603076,0.12897540129789942,0.10713672072396932,0.09207138641145929,0
26,92.84094470078547,72.4531781808244,31.21825654567265,0.10428276046140358,0.12694748374350018,0.10585709816102147,0.08435965276036914,0
27,92.84670840550223,73.34495558662576,30.56046391141916,0.1681450724921179,0.12264777320977259,0.10497447941127439,0.07671228081994189,0
28,92.84670840550223,72.98670529218563,30.21995137327824,0.09924348252245094,0.12015994790605082,0.1049356245127234,0.06302420793037584,0
29,92.84670840550223,73.82576789080578,29.721649711452876,0.10508205926623639,0.12346448255346604,0.10425291462380877,0.07699423634109671,0
30,92.84670840550223,77.1134281194788,26.06016865954049,0.09778383885161468,0.11621917883896385,0.10340763290672825,0.06785826436171237,0
31,92.84670840550223,78.60242667466463,24.70114066302651,0.37104762833583077,0.10922996481829102,0.1017443055278319,0.05149184831738159,0
32,92.84670840550223,76.28978840887767,28.60314898323008,0.09997398919905207,0.11586596932882529,0.10081023242425464,0.06367678097917345,0
33,92.84670840550223,69.93009606073791,34.88944972523616,0.37104762833583077,0.1261736905295331,0.10137748291434162,0.0774158204206457,0
34,92.84670840550223,73.15371270061013,31.28970354875681,0.09799049248377034,0.12086730265338572,0.10048218554932783,0.06634936099190064,0
35,93.52482618476617,72.68758815270873,31.28039658201917,0.08283006248562035,0.12180408389862907,0.1002712783392887,0.07398798408206668,0
36,92.84670840550223,73.07470253563443,31.082892719140258,0.09095647597813845,0.117409555315647,0.09968760762282466,0.07165178378838905,0
37,92.84670840550223,69.9034787701939,34.34225191929872,0.09241143388664627,0.11842459684307428,0.09781318875841731,0.08752276770394393,0
38,92.84670840550223,69.95663054414683,33.625135139619815,0.09610612514726544,0.11935698282769688,0.09632666864063533,0.09064360543024133,0
39,92.84670840550223,72.6589465716115,32.06499820297151,0.09891198966274381,0.113656538427763,0.09584579915864214,0.08326795083276507,0
40,92.84670840550223,74.13187212960288,31.74915175258527,0.0917142098310536,0.11304441475455278,0.0949962824459529,0.08083810560376488,0
41,92.84670840550223,74.37091391726501,30.384478198295657,0.08133534290459603,0.11729680520892474,0.09430393909929782,0.09633189962991945,0
42,92.84670840550223,74.31779435696717,30.09447934854029,0.09763883762243585,0.1044165306923288,0.09314120277816601,0.0712647997478737,0
43,92.84670840550223,73.48844682476354,29.947955212200704,0.09348141022762005,0.10910731615110644,0.09212578444507107,0.08322681944978161,0
44,92.84670840550223,77.11007431476457,26.1329498001382,0.0953239840022638,0.11368664229726569,0.0917142098310536,0.10345870519295017,0
45,92.84670840550223,76.22790272338612,27.107967020954966,0.09723582301763797,0.11761218726535148,0.0917142098310536,0.11340681590848355,0
46,92.84670840550223,75.62249809061404,27.373890185495167,0.0917142098310536,0.1070616659975983,0.09180292870802567,0.0917113524236301,0
47,93.30013357217581,78.21543101964073,25.061459101091256,0.0973374219911767,0.10708726725673662,0.09288608970791339,0.08233223352228718,0
48,93.78272016318508,77.2879723100611,26.21012370677018,0.0973374219911767,0.11642915270981248,0.09331330192531537,0.09069851557607801,0
49,93.78936470590374,78.15372601512581,23.911815548681837,0.09449747476616667,0.12086348287326644,0.09387133109773735,0.08326263969406407,0
50,93.79605369405454,78.32174067373427,24.160025013970305,0.0938385801048767,0.1122914069310201,0.09337290450046518,0.0732111946385559,0
51,93.79605369405454,75.77300193568428,28.263284170877906,0.0973374219911767,0.11043693426277841,0.09352798989556167,0.08127102676657569,0
52,93.79605369405454,77.72328548081418,24.593654976201567,0.0973374219911767,0.1038330232679939,0.09391185197762254,0.06780743985480042,0
53,93.79605369405454,74.74230272832118,28.203847387108503,0.09495905519718276,0.09863011597960278,0.0939566505900889,0.04634201452147488,0
54,93.79605369405454,71.8890177947756,31.15731572324546,0.09483869435423833,0.09892541065032223,0.09372384042619711,0.04303960173460505,0
55,93.79605369405454,67.90740013370862,33.6551398077175,0.09362219186626557,0.11205149938557753,0.09370626781726202,0.07350181984625825,0
56,94.18936470590374,67.71454642359294,33.624740310143096,0.08733742199117671,0.10506063309121179,0.09377346397299724,0.05391974853870511,0
57,94.18936470590374,70.0341828533477,30.71104987984128,0.08733742199117671,0.10290898102915175,0.0938032694194642,0.0459311433195764,0
58,93.79605369405454,71.60712704206604,31.01778245932706,0.09085155554195229,0.1000141076687476,0.09376915545096312,0.03661455709858532,0
59,93.79605369405454,68.26909980144151,32.31583848421883,0.09419254818405247,0.10545244798687972,0.09377130971198018,0.06005781073562903,0
60,93.79605369405454,66.57770861745048,34.397013974027814,0.08490819126647671,0.10941508914721576,0.09331062673457889,0.08147788357080338,0
61,93.79605369405454,70.26260473990695,32.106672195503364,0.0920405549814251,0.10679004381120064,0.09264463002220336,0.06804224830706701,0
62,94.18272016318508,70.93563893918471,30.39422273766437,0.09293445836585126,0.10004658045123965,0.09236328775353281,0.04525661243082631,0
63,93.79605369405454,70.75944992080882,29.718177692322115,0.06830255878303912,0.10140672009567647,0.09160993211848828,0.06366656445256472,0
64,94.18272016318508,69.83129633134487,31.327737395536754,0.08917597797981655,0.10259168113079543,0.09128830722786661,0.07642867595045684,0
65,94.18272016318508,66.94583689206648,33.19743440308372,0.0917626599398308,0.10067340002542363,0.09027312597061243,0.07648455046616492,0
66,94.18272016318508,65.07361349801246,34.03356098921266,0.0917626599398308,0.09846013611371071,0.08928396355961053,0.07232787188502371,0
67,93.79605369405454,67.14627081060804,31.034206832980594,0.08008093967637167,0.09611365708027747,0.08854101799518177,0.06615341244848723,0
68,93.79605369405454,68.09456429094408,30.10027890984495,0.08635308920282367,0.10636447682781555,0.08912871302501849,0.09181968423572881,0
69,94.18272016318508,70.26707135724774,28.69188051380392,0.08998156258576166,0.10088164965216587,0.08842766172632882,0.07161538767786661,0
70,94.18272016318508,71.31754465381978,28.84937968342795,0.08998156258576166,0.1056535034096725,0.08881963710432945,0.0813536365871631,0
71,94.18272016318508,69.23119432064297,30.262683543694095,0.08998156258576166,0.12091139471312246,0.08892333993878222,0.10865218825207115,0
72,93.79605369405454,69.60141294417532,29.990130187867912,0.09245265210508247,0.10563637485804427,0.08780694907541663,0.07332543130525453,0
73,94.18936470590374,71.22717426994689,28.371565344288797,0.08697112498024992,0.11234635933883277,0.08705714960374114,0.09318641121869913,0
74,94.18936470590374,66.8061362102532,31.45286970159803,0.14282366864466792,0.11240152589301355,0.08694181040512952,0.10403148217317203,0
75,94.18936470590374,66.29913222480222,31.256235699824675,0.14282366864466792,0.11432069414647728,0.08760024517647325,0.08877457988579536,0
76,94.18936470590374,66.28646687351883,29.695811342939756,0.08748908221146665,0.10740423410575535,0.08754462555703553,0.0750456243802508,0
77,94.18936470590374,65.89961901834874,30.363613717949956,0.08748908221146665,0.10501458515864973,0.08667626732544714,0.07897628708916572,0
78,94.18936470590374,68.21819371496363,30.700017789725077,0.08748908221146665,0.09981176798415504,0.08597539212884704,0.07751802364936854,0
79,94.18272016318508,65.94141338666036,32.6377529437928,0.07865757052889505,0.09658871789281949,0.08556588786429438,0.06756661868857546,0
80,94.18936470590374,66.5497775058609,32.475529351940224,0.08246075258901449,0.10031033049540654,0.08439571994643572,0.07713935374480864,0
81,94.18936470590374,63.436798124682745,32.52013620762789,0.08246075258901449,0.10702793440966397,0.08434076143189462,0.07515944175060325,0
82,94.18936470590374,61.55175721616586,33.306036151246516,0.08246075258901449,0.10589756689217372,0.0837480647715251,0.07968548781866372,0
83,94.18936470590374,61.56412696570973,34.15431959543083,0.08323986382126555,0.10731671981382403,0.0836811496011411,0.08053900593163393,0
84,94.18936470590374,62.771001698937276,33.01976167987222,0.08323986382126555,0.09822077456836174,0.08324268974045264,0.07812568667189015,0
85,94.18936470590374,66.37507109959328,31.394895913378825,0.08323986382126555,0.08852653077101391,0.08276983249915396,0.04519874755550505,0
86,94.18936470590374,66.77408319169321,32.06374604462211,0.08323986382126555,0.08781415860169327,0.08294584928895765,0.04674993516069253,0
87,94.16956207860757,66.97323339859871,32.328107995818215,0.08487403387942148,0.09057849362755119,0.08306905278802132,0.0672416513121017,0
