gen,best_fit,mean_fit,std_fit
112,64.44900299703653,13.459432619047798,13.80852516740493
113,67.7095641973394,14.947201870615265,15.746546702250393
114,67.8608133245975,19.37671938911356,18.61354988333663
115,67.7095641973394,17.93767377437017,15.859319604333411
116,67.7095641973394,17.967150310962744,16.07170728281632
117,67.7095641973394,15.658991369098096,15.689420321880588
118,67.86950723036472,17.26866696668548,14.975313514148587
119,67.86950723036472,19.042199557428116,19.614374019778428
120,67.86950723036472,19.587487408433127,19.087888509294864
121,67.86950723036472,18.85768298124825,15.742682491742606
122,67.86950723036472,19.449918232520325,14.69746073308904
123,67.86950723036472,17.745262880974693,14.44802178294301
124,67.86950723036472,21.000988721711757,18.10046286658372
125,67.86950723036472,19.72415296157096,15.678501753253736
126,67.86950723036472,18.157413741265398,14.10047196064797
127,67.86950723036472,19.35496108750512,14.037061449631695
128,67.86950723036472,19.41714419469207,14.374386934036187
129,67.86950723036472,17.437703914969685,15.143334814414047
130,67.86950723036472,18.513352586950724,15.303841063741052
131,67.86950723036472,18.35415885332558,14.442259096282058
132,67.86950723036472,17.51078135307188,13.648555186684662
133,67.86950723036472,18.240258950735928,13.949825399466034
134,67.86950723036472,19.81064957200926,14.03066640537788
135,67.86950723036472,18.74144170596298,13.538837691272374
136,67.86950723036472,19.14347821377517,14.434550740155355
137,67.86950723036472,19.43625505435763,14.513077672670528
138,67.86950723036472,18.973291115276496,14.299721814149233
139,67.86950723036472,17.716537294181773,14.58732632572202
140,67.86950723036472,18.241788779533792,14.020539119514133
141,67.86950723036472,19.04507022817377,13.59293621962878
142,67.86950723036472,16.779499383746465,13.90808273171361
143,67.86950723036472,17.74958011561899,13.48898146064699
144,67.86950723036472,17.536564087292817,13.746081869544208
145,67.86950723036472,18.639474326027177,13.481259702536452
146,67.86950723036472,19.402315516904753,12.426054914662853
147,67.86950723036472,19.43401150494458,13.001223446554159
148,67.86950723036472,19.241568335568967,14.02255911010599
149,67.86950723036472,16.166146653346228,14.054985140596926
150,67.86950723036472,17.755877304842997,13.00551808937643
151,67.86950723036472,17.445414608668187,13.402751346273007
152,67.86950723036472,16.54282443937417,13.150120421893972
153,67.86950723036472,17.766959348428642,14.09825606495434
154,67.86950723036472,19.896729918428413,14.8103287300774
155,67.86950723036472,18.844916801329546,14.96692376000439
156,67.86950723036472,19.018613803691682,13.391082780634788
157,67.86950723036472,18.926618172636207,14.577892562080029
158,67.86950723036472,19.090087315229734,13.588596109402745
159,67.86950723036472,17.380517194941508,13.604398213372637
160,67.86950723036472,16.741160799486078,14.257489246911144
