gen,best_fit,mean_fit,std_fit,best_prob,mean_prob,median_prob,std_prob,doomsday
31,91.70341372532802,43.72182205414374,39.26361629450808,0.31953036877075686,0.15244160292156625,0.11074969372116497,0.1370492431746844,0
32,91.7587078342906,42.55647922855874,39.08537020541723,0.09866433089569068,0.14550790853789228,0.10482456169518198,0.11774799983331577,0
33,91.76341372532802,45.78303584699617,38.598235129386,0.09238950829031461,0.13981031372025052,0.09923768381569968,0.11184245430249853,0
34,91.76341372532802,45.259225075406306,38.38715010537651,0.09238950829031461,0.13672501734530887,0.09850474662394301,0.12353134549912535,0
35,91.81870783429059,45.909081030726554,38.07213830422725,0.08003691447486125,0.12753244285110116,0.09773580455602303,0.10467029125114877,0
36,91.88341372532801,46.96708509894368,38.906405886521306,0.06859746089228155,0.12022121223094744,0.09238950829031461,0.10050362853332352,0
37,91.81870783429059,50.26867893130257,37.641834546967935,0.07865184148178124,0.10972743715469167,0.08842775435450097,0.09178551935136782,0
38,91.81870783429059,50.756425501445094,37.307242439783046,0.0906842508836874,0.10784540288462797,0.0852137631835215,0.10212133435094489,0
39,91.82341372532801,49.471536289480696,37.94518068234384,0.0906842508836874,0.10782595382046274,0.08448327896516739,0.09621430719756266,0
40,91.81870783429059,48.591614925113866,37.70390329067433,0.0906842508836874,0.10517084677868044,0.0859867981851705,0.0871623648931505,0
41,91.8787078342906,49.87439022026764,36.897745156892775,0.08052355837509007,0.12001964836577107,0.08800317338416525,0.1085517932702154,0
42,91.8787078342906,50.815089807567716,37.09289219989733,0.08052355837509007,0.10919786288722136,0.08513058241210439,0.09202349032449249,0
43,91.8787078342906,50.04773603506937,37.03668015488799,0.08858725793878439,0.10074104213791638,0.08245656146667005,0.08200091882490423,0
44,91.87402398497817,53.348083853187546,37.410856918409685,0.08858725793878439,0.09341109316940768,0.082397724659808,0.06075329374374969,0
45,91.8787078342906,51.61806577681647,36.932097775756624,0.0714986527872898,0.09804192870939059,0.08268680981493243,0.08438718227504918,0
46,91.87402398497817,54.96724204571981,38.09180820332,0.08217207520298785,0.09082586228842414,0.08150135779541302,0.07274466932582975,0
47,91.88341372532801,55.60935536573774,37.25733004384477,0.07011043541999143,0.09288088163279608,0.07952643987530977,0.0835770119972479,0
