gen,id,enemies,best_fit,mean_fit,std_fit
15,si0,41,39.26990021702642,15.118523335951643,12.924442436769272
15,si1,34,83.40543794147892,21.90670065095639,19.31801208571134
15,si2,14,39.26990021702642,18.65285777394886,7.5043248393684285
15,si3,14,39.26990021702642,19.790033853711773,9.136929354046174
16,si0,41,39.26990021702642,17.983115239455756,11.921672515843017
16,si1,34,83.40543794147892,21.988726035519967,21.552109329780375
16,si2,14,39.26990021702642,17.589645293832206,10.83183357196216
16,si3,14,39.26990021702642,17.62178070590235,9.564464371703957
17,si0,41,39.26990021702642,16.910054345567712,11.114985922496322
17,si1,34,83.74806444416042,15.4230764922018,20.69500304418382
17,si2,14,39.26990021702642,16.20591131245986,11.667329550647018
17,si3,14,39.269900217026425,17.282034016622493,9.5809233718733
18,si0,41,39.26990021702642,17.98764458351954,9.56087649331102
18,si1,34,83.74806444416042,15.737346868438642,23.261434755908585
18,si2,14,39.26990021702643,16.169844701851627,11.400762940984718
18,si3,14,39.269900217026425,20.46607922908402,7.548832593556465
19,si0,41,39.26990021702642,19.451203094626656,7.223359385132374
19,si1,34,83.74806444416042,14.751052574902124,17.837834487667408
19,si2,14,39.26990021702643,19.090686542799904,9.268851341151734
19,si3,14,39.26990021702643,21.25546401910679,4.443979131471018
20,si0,41,39.26990021702642,15.817192015462703,11.172391760413484
20,si1,34,83.74806444416042,22.311239396558722,14.13077630014743
20,si2,14,39.26990021702643,17.2566881281858,9.255958707780495
20,si3,14,39.26990021702643,19.45560081117341,7.673954953162117
21,si0,41,39.26990021702642,19.082341973371072,9.66526641345498
21,si1,34,83.74806444416042,21.648473227007756,14.181604555711004
21,si2,14,39.26990021702643,19.42802442837234,10.48886329272441
21,si3,14,39.26990021702643,18.349679636388984,7.9747385060096905
22,si0,41,39.26990021702642,17.892721834355868,11.533140354926187
22,si1,34,87.55499468596398,25.04058470642143,17.43449903173302
22,si2,14,39.26990021702643,16.0923653454412,10.568806091528822
22,si3,14,39.26990021702643,20.519011708953208,6.747705714268573
23,si0,41,39.26990021702643,18.708195854575557,14.090318792333923
23,si1,34,87.55499468596398,24.54560484481702,19.685866298587236
23,si2,14,39.26990021702643,19.378135868928982,10.252904776549869
23,si3,14,39.26990021702643,20.91183309203271,6.443970662520553
24,si0,41,39.26990021702643,19.799798693532697,9.698058718707546
24,si1,34,87.55499468596398,25.544831635660383,19.78506300001144
24,si2,14,39.26990021702643,18.60193884525937,11.179700439670054
24,si3,14,39.26990021702643,18.976790758910695,10.165047915930703
