gen,best_fit,mean_fit,std_fit,best_prob,mean_prob,std_prob,doomsday
50,48.19185751001956,14.722401558438914,13.643684220999496,0.3331337475424949,0.2808300466265788,0.14852910113323392,0
51,61.454451834334236,12.939769331012263,14.743286577392933,0.3331337475424949,0.29235466834198776,0.16506358232130122,0
52,30.179917069647637,10.547918225423999,14.47324950365148,0.2830940280355875,0.28002698989772357,0.1498984465824363,0
53,30.179917069647637,9.255922549519367,14.527656322329772,0.1838145523633198,0.2751547795864514,0.13643799395496353,0
54,30.989364705903746,8.685748686187202,14.656257269469682,0.3426935406221596,0.2483318637997815,0.11428748960303478,0
55,30.963047397586372,10.221173350710274,14.569739808945869,0.2802848373548794,0.2578064837603893,0.1278126988750892,0
56,31.147969736080384,9.76514840113815,14.364748446008345,0.21327545200446393,0.2728803948189553,0.1342041766462911,0
57,57.40157804100163,12.330810519029429,15.608386479423174,0.2515698322541457,0.2640354067198683,0.11533935385391243,0
58,48.368788218178636,12.721501337526057,15.444031991028684,0.2375778833690087,0.26842070046881483,0.1250746228687775,0
59,48.368788218178636,12.946809973480955,15.644299867934354,0.2375778833690087,0.27399430550277515,0.12272170976917478,0
60,57.424050896853686,11.66613077998114,16.411883663707364,0.2275778833690087,0.3167410010129686,0.17993437199318305,0
61,30.179917069647637,9.427866900517138,15.139955087863607,0.24457877976440448,0.34368932633589017,0.20296341973069087,0
62,30.179917069647637,11.270763319883509,15.648521099541483,0.24457877976440448,0.3305205619068222,0.2014388197141584,0
63,39.924826184766175,14.759064034560852,16.11424997395685,0.23003090133609733,0.3303026970120066,0.1998140249291859,0
64,30.179917069647637,14.224373417760033,15.846775738850564,0.25477148895605606,0.32372731377328684,0.20929599487806003,0
65,56.738508315678956,16.90294207287442,15.775656903715976,0.387341364580427,0.3393866578671361,0.21935401881797922,1
66,30.179917069647637,16.230822989952536,15.238969110035454,0.11912568028912762,0.342797607712563,0.1959993671652227,0
67,30.179917069647637,17.46587408256062,14.995005000063793,0.3840475293786554,0.33515105410229623,0.18113255405291678,0
68,56.742332412117364,16.01135503877619,15.926220332777017,0.25093838751651926,0.31535537369469097,0.16986446643910205,0
69,56.742332412117364,15.245419005672462,15.101598505907575,0.20947208033846548,0.2944627731751034,0.13434133464316048,0
70,56.742332412117364,14.048256220516409,15.827129718293822,0.1844701558248124,0.27730017078703006,0.1459716333301557,0
71,66.44317193830047,15.251117604509117,16.692254808126822,0.27961778907101176,0.2782884637834456,0.16176232404814023,0
72,56.742332412117364,13.016888522603825,17.12998691401404,0.2159623009846154,0.2761591236863235,0.15206508571959437,0
73,66.36521039683075,13.533236710269406,18.29577126531129,0.30837106780463064,0.2400393758070748,0.12600560400707997,0
74,57.511062273843315,12.134326716831124,17.631914487458516,0.27846740771806117,0.25561153627340033,0.15450058833903255,0
75,57.511062273843315,13.333743496808465,18.373322424794,0.27846740771806117,0.2523729017859845,0.17322589375154546,0
76,56.742332412117364,12.500780665448469,17.720484665624177,0.2159623009846154,0.2716165116111274,0.19035999868093678,0
77,66.17399989261955,12.012850238890973,17.895778217471513,0.15906532807827223,0.28341667401631415,0.18932802642893262,0
78,66.17399989261955,8.767090048725013,17.294835407577164,0.15906532807827223,0.2639611592730966,0.17439799084935464,0
79,57.46266573298146,10.682284369718639,17.004248047608478,0.3192029021862618,0.24198080698653132,0.18031638846213882,0
80,30.59282822853988,7.490472238785083,15.056603212100255,0.16412920293209904,0.23557845562125507,0.17231800876593922,0
81,48.375982493812664,9.334022791346953,15.967233154972835,0.4830688773112872,0.2555218131562123,0.1676296331687969,0
82,48.47454706086822,8.33370476318821,15.793690463080466,0.18631056486132047,0.24409402239787523,0.14646820771655564,0
